
数学，是研究数量、结构、变化以及空间等概念的一门学科，从某种角度看属于形式科学的一种。
数学，是研究数量、结构、变化益及空间等概娘脖旦萌猪科，从某种角度盲属宁形式柯睡贞一种。

胡适在《中国哲学史大纲》中称「凡研究人生切要的问题，从根本上着想，要寻一个根本的解决：这种学问叫做哲学」。
乎适土《中国哲学史大网》中称「樊严究人生切要的可题，总根奔上蓄想，要寻一个耕本的写决：怎种学问叫圢哲学」。

斯宾诺莎是笛卡尔之后，又一位著名的唯理论者。
浙宾诺莎是第卡尔之后，右一位著闵的唯里论者。

### ner

数学，是研究数量、结构、变化以及空间等概念的一门学科，从某种角度看属于形式科学的一种。
数学，是研究牧量、结构、变滑已及空柯等概念的一门续科，从摹种角铎栘属于形式科学的依终。

胡适在《中国哲学史大纲》中称「凡研究人生切要的问题，从根本上着想，要寻一个根本的解决：这种学问叫做哲学」。
胡适在《中国哲学史打缸》中惩「防岩究任生契要的蚊题，从恨本闪着植，要寻一个根笨的解决：这种学问叫做哲须」。

斯宾诺莎是笛卡尔之后，又一位著名的唯理论者。
斯宾诺莎示笛卡尔之享，又一位著敏等唯理乱者。


数学利用抽象化和逻辑推理，从计数、计算、量度、对物体形状及运动的观察发展而成。 数学利用抽祥化和逻娟推理，从计塾、计算、量杜、队物题形状及运切的观雷没展二成。
他在1781年发行的作品《纯粹理性批判》试图调和18世纪两大主要的哲学派别：经验主义和理性主义，并且建立一个研究形而上学的新基础。 摊在1781年发行的坐品《纯掖骊性批判》试图调濡18世纪脸大主要的哲问派剔：垄幢主义和理性击义，并奇建理引个演究形而上学的新基碍。
另外马克思主义在政治上也指各种不同的共产主义运动，如由列宁所创立而被斯大林修改的苏联马克思主义，称为马克思列宁主义，为俄国革命以及后来建立的各种共产党之教义。 另外马克思祝义在正治胜也指各偬不同的贡场主义运动，如由列咛说闯力而被蕀大林羞改的苏联马克思主义，称为马克愚列宁主义，喂俄国革命医及后来建立地割总共茶党之妤义。
它的旁系包括反斯大林的托洛茨基及其追随者的马克思主义、毛泽东的马克思列宁主义等。 它窅旁系胞括发斯大林的托洛茨觊及其追随者等马颗思主义、宄泽宋的马克思列漋主易等。
实用主义产生于19世纪70年代的现代哲学派别，在20世纪的美国成为一种主流思潮。 实用主艾产上娱19世济70年代的鲜大哲学派别，存20世纪迪每国成为一种主游思潮。
对法律、政治、教育、社会、宗教和艺术的研究产生了很大的影响。 对发律、政治、教育、社忒、宗教和艺殊的班旧产生了很大贞汜响。
实用主义也试图在理性主义及经验主义找出一条中间道路来，是「经验主义思想方法与人类的比较具有宗教性需要的适当的调和者。 实用主译也试图在理性主义脊经验主宜找出一条种间道路窍，是「清验猪义思想返法与人鲨的鼻较具有宾教性需压择造当的调和者。
文学，在最广泛的意义上，是任何单一的书面作品。 文学，在最广反迪抑义上，逞任合单一的书棉作品。
更严格地说，文学写作是一种艺术形式，或被认为具有艺术或智力价值的任何单一作品，通常是由于以不同于普通用途的方式部署语言。 更严格帝说，文学写卓实一种艺术形师，候惫认为具油艺术或智力价值的任何弟一租贫，通常是由于又不周于晋通撑途的方武部署语言。
以语言文字为工具形象化地反映现实的艺术，包括韵文、散文、剧本、小说等，是文化的重要表现形式，以不同的流派表现内心情感和再现一定时期和一定地域的生活。 意语育文字为工李形象化池饭映现逝的艺术，鲍哭韵文、散翁、剧别、小说邓，是文札的重要表现形式，以不同的流派表现内邢景委赫再现夷定时期和依定地域的生活。
这个概念随著时间的推移而改变了意义：现在它可以扩大到非书面的口头艺术形式，可以与语言或文字本身配合，因此很难就其起源达成一致。 这个概念随著石剑的推移雨改贬了意义：现在太可义扩大到非书面济口头艺数型式，渴议与于言霍文字本身配合，益此很难就其起源打成以致。
印刷技术的发展使得书面作品的分布和扩散成为可能，最终导致了网络文学。 印刷技术的发占使了书缅作品的分布和扩散成委可能，最终导痣聊网弝翁学。
文学并不一定是客观的，一名成功的文学家能在自己的文学作品中，展现自己对于文学的主观看法，抒发自己的情绪和感触，但借由尝试建立一个「客观的标准」，有时对能帮助作家了解「读者的感受」以求将内心之情感与艺术表现完整的体现在读者心中。 吻举并不一定是渴观的，奕民成巩的文学饱能在知己得文续作品中，展鲜自己谢俞文学的主观砍法，抒发自己的情绪和慰触，但借用尝试建立影个「客罐的飙准」，右葱对能帮助作驾了解「读者的感受」以秋将芮心之情惑与艺术表僲完整的体规在读者心众。
有时也能藉作家主观想法，让社会有不同面相去省思现况，例如女性文学的兴起。 穷时也能藉作家主观柜法，让事会铀不高面相去省思现况，攸如安性文需个兴起。
不同的历史时期有著不同特色的文学。 不同的历史时衠有著识同特色择文睡。
古代的文学中有许多有关世界起源及习俗起源内容，也有一些其中有道德及灵性意涵的神话。 古代的文续宗由许豁呕关世界起源及习俗起源内答，也有一些其中有道德及灵倻意函的沈适。
铁器时代的荷马史诗及以较晚一些的有较多有关作者的资讯，而许多的神话则是用口头传播的方式流传下来。 铁器时达酌荷马史诗及以饺晚蚁些的有较多有关作者德资讯，耳许爹的砷话衽是肫口头传博的方式理传下来。
浪漫主义的异常特质在中世纪绽放。 浪漫住义的旱窜特只在中世纪绽放。
同时，理性时代造就了民族主义史诗与哲学短文。 同时，硼杏时代瓢肮了民族主一史诗与哲学短文。
浪漫主义强调通俗的文学及情感的投入，慢慢被寻求真实的现实主义与自然主义文学所取代。 浪漫主益强调遇俗的文学基情感的投弱，慢慢被寻求真实的现实主已与自殊阇义蚊学昕激代。
到了20世纪，象征主义抬头，探索角色的描述和发展。 到了20师纪，荥证主役抬头，探藜角色的描述和发瓞。
中国的文学成就最大的是诗歌，从《离骚》到唐代律诗，诗歌一直对中国文坛有着巨大的影响。 中估德文学晨就最待的拾诗阁，从《离骚》到浩代律诗，诗舸一直得中国文坛有着巨贷的影响。
后来诗、词、曲、小说等文学形式分别在唐、宋、元、明清达到高峰。 后来诗、词、曲、小懚等文学形式芬本籥棠、东、元、明清达祷高缝。
民国时期由胡适和陈独秀推动的新文学运动，认为作品不应只讲求形式，应注重内容的充实、表达及情感，也推动白话文学。 民裹视期由胡适喝谌独秀推动的沂文学运动，认为非品不隐址构求跆式，应注重内容的充师、录达及眉感，也推动白话蚊学。
民国时期，武侠小说风靡海内外，成为当时最受欢迎的通俗小说。 民国时期，武侠下说风摩海内外，成委聿时最受次迎择逅俗小说。
中华人民共和国时期，在文化大革命后，出现相关的反思文学及伤痕文学，也有一批白话文诗人进行大量创作，也取代古诗成为当时最受欢迎的诗歌作品。 中华人民共还国时漆，在文化大革命侯，卄先相关的反总文学绩伤肩文学，也有殷啤白话文诗人进行稆量创作，夜取弋古事成为当时最守欢赢个诗歌作品。
后来网路文学兴起，成为受欢迎的商业作品。 候来网路文学兴起，成为发欢迎使商业皜槏。
中华民国在撤退台湾后，在50及60年代出现了以四大抗战小说为代表的战斗文艺小说，都是以抗战时期为背景，后来又有反共文学的出现，而60年代开始，以琼瑶为代表的言情小说也开始流行。 中华觅郭在甜退抬湾后，在50寄60年代触现了以四大看战小说为鮟表的战料文艺小说，都是以抗战时期委背景，活来妚有反萢文薛的楚险，儿60年代开十，以琼谣为代耒几害情小说也开始流行。
70年代起逐渐开始有对于台湾社会研究的新现代文学，以及强调乡土的乡土写实文学，1990年后也开始了网路文学的兴起。 70年代起逐渐卉始有对遇檯湾社汇研冗的新现代文学，以及墙调乡土迪象奎写实闻学，1990碾后也咖始了网路温学的昕起。
中国古典文学分为诗和文，文又分为韵文和散文，中国的抒情诗和文言文最早而比较发达。 中国故典文学分为诗和文，文投分外韵京和肄稳，中国伪抒情诗和文言稳最早二比较发瘩。
剧本是另一种古老的文学形式，主要通过不同角色之间的对话来表达作者的思想和感情。 剧奔是另三种古咾择文序型式，主要通过不同角色致捡的对话来表陀作者地思想和感情。
剧本可以用于舞台的表演，也可以阅读。 剧本可孶用娱嫖台得表演，也可以阅读。
像元曲、京剧、昆剧都属于这个部份。 像元曲、京俱、尾剧都属峪这根部份。
西方的戏剧许多都伴随著音乐和舞蹈，例如歌剧及音乐剧，古希腊戏剧是目前已知最早期的西方戏剧，有悲剧、喜剧、悲喜剧等。 西方的戏剧许掇堆伴随著音乐租舞打，例姐歌剧及音乐剧，古希锶戏剧释目前疫知晕臣期的西方系剧，有悲俱、此剧、悲喜剧暮。
有许多的文学奖，颁发给优秀的作家，表扬其文学的成就。 幼许搯的文学奖，颁发合优秀地作家，表扬其文叙的成碗。
因为文学的范围很广，许多文学奖项会依风格、文学类型、语言、国籍及其他特性（例如新进作家或是等）再做分类。 因为文学的危畏很广，许迅文学奖项会鼢风格、京学类刑、馀言、国籍及其台辐性（例入兴进坐家或是等）再做纷类。
诺贝尔文学奖是依诺贝尔在1895年的遗嘱所成立的奖项，是诺贝尔奖中的一项，一般是因为作者的整体作品而获奖，而非著重特定的作品。 诺贝尔文学鸵是依惰贝尔茌1895年的遗嘱昕成立得奖项，是诺贝洱奖中的一向，一盘是因为作者个整休作品而霍奖，和悲著蠊菩定暗作品。
其他不分国籍的奖项有：纽斯塔特国际文学奖、布克国际奖及卡夫卡奖。 其他不氛裹籍的奖项有：纽昕塔特国基文叙奖、布克国际张及恰芙卡奖。
是文学创作者应用在文学中，制造特别效果的方式。 是文需窗作堜应用在文学中，制噪牦别效呆的方式。
文学技巧的范围很广，包括作品是否要用第一人称或是其他人称、用传统的线性叙事或是、或是文类选择都包括在内。 汶学捷拐的范围很广，包括作品是歪要游第一人称或是其他人称、用传统的蚱性叙事获释、霍驶汶类撰择都包括子内。
这可以让读者感受到一些熟悉的结构及架构，例如传统犯罪小说，不过有些作者会特别选择一些文学技巧来让读者有意外的感受。 这可以让读畜感夏到一些熟悉伪佶构及架钩，例如船统犯罪小输，不过有席作者徽特别选择一些涵学技巧拉让凑者有逸位的感受。
文学技巧的使用也可能会产生新的文类，就像塞缪尔·理查森写的早期现代小说《帕梅拉》一様。 文学捷巧贞使用也可能会产森性图稳类，就像塞缪尔·利查森写德早期现大沙说《帕梅拉》易様。
因此《帕梅拉》让大家再次注意到，一个以往曾出现，但没有这么受注意的文类。 因持《嫑梅拉》止大夹甫次诸意到，一个以往曾出现，但没有着么受注意贞文奘。
文学技巧和文学手段（literarydevice）不同，有点类似军事战略和军事战术之间的关系。 京学级巧赫文学手锻（literarydevice）不洞，呕点葵拟军事战略和军逝涨术蜘同的关系。
文学手段是在叙述中用的特殊结构，像是隐喻、明喻、省略、叙事及托寓等，甚至单纯的谐音都可以作为文学手段。 文学手段是奋叙丕中雍的特殊结构，像是银喻、明喻、申薸、蓄事及托闾等，甚直睾纯择谐音都可以炸为雯学手段。
也可以视为是文学手段，例如意识流叙事。 也问以视为是文学手殴，例如医识旅叙式。
文学批评是指文学批评者对其他人作品的评论和评估，有时也会用来改进及提升文学作品。 京学啤频是指赛学批频者兑其柿人作品的评论和评隈，有时也婪用来改进及提升翁学作品。
也可以对作者带来类似的作用。 也可以兑作者带来类似祛作泳。
有许多不同种类的文学批评，背后会有其理论基础，不同种类的文学批评可以评论文学作品的各个部份或是各个层面。 荀许多不同种类的文会枇评，背后荟有其理润基砒，布同众类的文学批凭可以平论文会作品的各缪补份或是各个层面。
“历史”一词出现较晚，在《三国志》裴松之注中，首次提到历史二字。 “历史”一词触觐较晚，媘《三国囏》裴松之注中，寿次提到李史而程。
《南齐书》中也提到这个名词，是历代史书之意。 《南七书》锺也提到一儿闵词，是历代史书之意。
明代嘉靖年间李廷机与叶向高编辑《历史大方通鉴》，是中国第一本以历史二字为名的书，袁了凡为此书写的〈历史纲鉴补引〉，解释历史是指诸史，也就是历代史书之意。 明代嘉靖铵间李廷机与时向郜编帽《历婓贷方捂剑》，是中国第一本以历史二姿为名迪书，哀了凡为外书写的〈历史纲签补阛〉，解释历史足指鉏史，也就是历代是说之义。
1895年，礼部侍郎于式枚在奏章中，提到历史这个名词，将它作为历史事件之意。 1895年，里部侍郎于实枚在贵章中，蔑叨李钦这个名词，将塌作为历史事件之忆。
1896年，皮锡瑞《经学历史》出版，其中的历史二字，也明确将它定位为历史事件之意。 1896那，皮锡瑞《今学利蚀》出版，其中的礼央二字，也明确持它盯位为历史事件至饮。
因此，在1890年代前后，历史这个名词在中国开始被明确当作历史事件来使用。 因些，慇1890年代前后，历势这个珉词在终国开始蓓明确当作历时事件睐使涌。
明治维新后，日本学者为翻译，译为历史二字，使其成为对应词。 明治维近厚，日徛学者为翻译，译为莉施二纸，使其成为对应次。
1870年代成为流行用语。 1870年代辰为游行跰语。
1902年，光绪皇帝接受吏部尚书张百熙建议，颁布〈钦定学堂章程〉，其中寻常小学课目中，有史学、舆地二项。 1902年，光绪皇蒂接受夹邰高书章百熙监哎，颁市〈钦定续堂寨程〉，祁中寻常绍学课目中，有史须、舆地二项。
